serial;solution1;solution2;solution3;solution4
3,699373;5,488023;0,47237;0,478026;0,433025
3,700028;5,455712;0,494962;0,43337;0,417979
3,706003;5,525636;0,454447;0,4357;0,433579
3,680465;5,782133;0,449261;0,448702;0,420426
3,755356;5,760779;0,430482;0,432999;0,421888
3,773443;5,628832;0,437057;0,451089;0,425781
3,762929;5,534626;0,451706;0,442623;0,434668
3,728524;5,547798;0,449807;0,435755;0,423926
3,765843;5,544817;0,437969;0,428514;0,416397
3,760712;5,559137;0,456097;0,459615;0,443395
;;0,435231;0,447139;0,417403
;;0,435863;0,431024;0,422645
;;0,47099;0,442824;0,438633
;;0,444217;0,426627;0,424975
;;0,441064;0,428842;0,426369
;;0,464321;0,455673;0,440124
;;0,440808;0,431802;0,421606
;;0,444501;0,431392;0,417215
;;0,466562;0,451748;0,438959
;;0,444408;0,440035;0,4254
;;0,440298;0,429963;0,418044
;;0,469805;0,445796;0,429213
;;0,435337;0,428611;0,429957
;;0,428776;0,430837;0,418727
;;0,439373;0,445644;0,428272
;;0,430075;0,439031;0,439621
;;0,448776;0,431147;0,414435
;;0,453934;0,452697;0,413957
;;0,436708;0,43642;0,438138
;;0,437682;0,439661;0,426635
;;0,458744;0,448007;0,422047
;;0,46211;0,439246;0,439724
;;0,439103;0,436682;0,420238
;;0,455765;0,443933;0,420346
;;0,435958;0,443765;0,441586
;;0,443098;0,43171;0,421882
;;0,46374;0,465626;0,420092
;;0,448221;0,434924;0,437275
;;0,45311;0,427708;0,421062
;;0,450469;0,427194;0,424122
;;0,430775;0,433748;0,422986
;;0,442299;0,420065;0,439952
;;0,449738;0,426692;0,495084
;;0,434351;0,437632;0,528238
;;0,42759;0,431623;0,525092
;;0,458849;0,42209;0,485978
;;0,441104;0,438151;0,464852
;;0,435596;0,422125;0,444847
;;0,451678;0,413834;0,452927
;;0,431298;0,449076;0,545694
;;0,434293;0,418434;0,472326
;;0,450405;0,425737;0,500946
;;0,429664;0,435361;0,507181
;;0,434408;0,428158;0,461463
;;0,44453;0,429692;0,46309
;;0,447389;0,428587;0,487651
;;0,44155;0,433786;0,50062
;;0,431118;0,423676;0,488046
;;0,448942;0,426093;0,471528
;;0,427483;0,44348;0,462296
;;0,429674;0,420654;0,456372
;;0,446553;0,422958;0,453673
;;0,426328;0,436407;0,428236
;;0,427325;0,422546;0,461682
;;0,450518;0,426066;0,437946
;;0,437274;0,439085;0,426752
;;0,430804;0,417064;0,449537
;;0,448709;0,422231;0,451591
;;0,436712;0,437314;0,461608
;;0,430153;0,426393;0,501439
;;0,444711;0,421434;0,471776
;;0,428339;0,430742;0,469594
;;0,422936;0,430833;0,449374
;;0,443323;0,419846;0,501901
;;0,424732;0,434814;0,470192
;;0,427097;0,442446;0,452176
;;0,444068;0,456833;0,439405
;;0,426348;0,438789;0,455701
;;0,421448;0,437946;0,528443
;;0,440158;0,430192;0,50939
;;0,442971;0,42516;0,482255
;;0,483969;0,456829;0,478885
;;0,427999;0,431844;0,465756
;;0,436225;0,435414;0,497307
;;0,423702;0,444849;0,523557
;;0,436075;0,420309;0,448597
;;0,438504;0,424081;0,515072
;;0,428824;0,439707;0,50559
;;0,435219;0,418414;0,442364
;;0,443414;0,425195;0,448883
;;0,435936;0,432847;0,429692
;;0,430754;0,426698;0,421615
;;0,440062;0,420274;0,435846
;;0,429719;0,440123;0,421792
;;0,427208;0,426243;0,425134
;;0,445394;0,419549;0,424762
;;0,422881;0,421731;0,428183
;;0,41912;0,433301;0,437734
;;0,431884;0,420508;0,422997
;;0,425924;0,423692;0,450753
;;;;
=AVERAGE(A2:A101);=AVERAGE(B2:B101);=AVERAGE(C2:C101);=AVERAGE(D2:D101);=AVERAGE(E2:E101)
